max_cisd_bars,entry,rr,stop_buffer,sr_max_atr,sweep_min_atr,rejection_min,volume_min,displacement_min_atr,ifvg_required,fvg_required,absorption,train_trades,train_wr,train_exp_r,train_pf,train_dd_r,valid_trades,valid_wr,valid_exp_r,valid_pf,valid_dd_r,target_50,robust_wr,robust_exp
5,NO_FIB,4.0,0.5,0.5,0.05,,,0.75,False,False,NONE,497,35.8148893360161,0.7907444668008048,2.231974921630094,10.0,245,36.734693877551024,0.8367346938775511,2.3225806451612905,12.0,False,35.8148893360161,0.7907444668008048
8,NO_FIB,4.0,0.25,0.5,0.05,,,0.75,False,False,NONE,503,35.785288270377734,0.7892644135188867,2.2291021671826625,10.0,248,36.29032258064516,0.8145161290322581,2.278481012658228,13.0,False,35.785288270377734,0.7892644135188867
5,NO_FIB,4.0,0.5,0.15,0.15,,,0.5,False,False,NONE,249,38.95582329317269,0.9477911646586346,2.5526315789473686,9.0,112,35.714285714285715,0.7857142857142857,2.2222222222222223,7.0,False,35.714285714285715,0.7857142857142857
5,NO_FIB,4.0,0.25,0.5,0.05,,,0.75,False,False,NONE,499,35.671342685370746,0.7835671342685371,2.218068535825545,10.0,245,36.734693877551024,0.8367346938775511,2.3225806451612905,12.0,False,35.671342685370746,0.7835671342685371
5,NO_FIB,4.0,0.25,,0.05,,,0.75,False,False,NONE,885,36.271186440677965,0.8135593220338984,2.276595744680851,14.0,401,35.66084788029925,0.7830423940149626,2.2170542635658914,10.0,False,35.66084788029925,0.7830423940149626
8,NO_FIB,4.0,0.25,,0.05,,,0.75,False,False,NONE,894,36.24161073825504,0.8120805369127517,2.273684210526316,14.0,405,35.55555555555556,0.7777777777777778,2.206896551724138,11.0,False,35.55555555555556,0.7777777777777778
8,NO_FIB,4.0,0.25,0.15,0.15,,,0.75,False,False,NONE,165,38.78787878787879,0.9393939393939394,2.5346534653465347,8.0,76,35.526315789473685,0.7763157894736842,2.204081632653061,7.0,False,35.526315789473685,0.7763157894736842
8,NO_FIB,4.0,0.5,0.15,0.15,,,0.75,False,False,NONE,164,39.02439024390244,0.951219512195122,2.56,8.0,76,35.526315789473685,0.7763157894736842,2.204081632653061,7.0,False,35.526315789473685,0.7763157894736842
3,NO_FIB,4.0,0.5,,0.15,,,0.75,False,False,NONE,722,35.59556786703601,0.7797783933518005,2.210752688172043,12.0,321,35.51401869158878,0.7757009345794392,2.2028985507246377,11.0,False,35.51401869158878,0.7757009345794392
5,NO_FIB,4.0,0.5,,0.15,,,0.75,False,False,NONE,757,35.53500660501982,0.7767503302509907,2.2049180327868854,12.0,341,35.483870967741936,0.7741935483870968,2.2,13.0,False,35.483870967741936,0.7741935483870968
5,NO_FIB,4.0,0.25,0.15,0.15,,,0.3,False,False,NONE,322,36.95652173913043,0.8478260869565217,2.3448275862068964,11.0,141,35.46099290780142,0.7730496453900709,2.197802197802198,11.0,False,35.46099290780142,0.7730496453900709
8,NO_FIB,4.0,0.5,0.15,0.15,,,0.5,False,False,NONE,252,38.49206349206349,0.9246031746031746,2.503225806451613,9.0,113,35.39823008849557,0.7699115044247787,2.191780821917808,7.0,False,35.39823008849557,0.7699115044247787
3,NO_FIB,4.0,0.25,0.5,,,,0.5,False,False,NONE,833,35.53421368547419,0.7767106842737095,2.2048417132216014,14.0,390,35.38461538461539,0.7692307692307693,2.1904761904761907,11.0,False,35.38461538461539,0.7692307692307693
8,NO_FIB,4.0,0.5,,0.15,,,0.75,False,False,NONE,764,35.602094240837694,0.7801047120418848,2.2113821138211383,12.0,345,35.36231884057971,0.7681159420289855,2.188340807174888,13.0,False,35.36231884057971,0.7681159420289855
5,NO_FIB,4.0,0.25,0.5,,,,0.5,False,False,NONE,877,35.34777651083238,0.7673888255416191,2.18694885361552,14.0,406,35.714285714285715,0.7857142857142857,2.2222222222222223,11.0,False,35.34777651083238,0.7673888255416191
3,NO_FIB,4.0,0.25,,0.05,,,0.75,False,False,NONE,851,36.310223266745005,0.8155111633372503,2.2804428044280445,13.0,380,35.26315789473684,0.7631578947368421,2.178861788617886,12.0,False,35.26315789473684,0.7631578947368421
8,NO_FIB,4.0,0.25,0.5,,,,0.5,False,False,NONE,885,35.25423728813559,0.7627118644067796,2.178010471204189,13.0,408,35.53921568627451,0.7769607843137255,2.20532319391635,11.0,False,35.25423728813559,0.7627118644067796
5,FIB_786,4.0,0.5,0.15,,0.4,,0.3,False,False,NONE,194,36.08247422680412,0.8041237113402062,2.2580645161290325,12.0,88,35.22727272727273,0.7613636363636364,2.175438596491228,12.0,False,35.22727272727273,0.7613636363636364
8,NO_FIB,4.0,0.25,0.15,0.15,,,0.3,False,False,NONE,325,36.61538461538461,0.8307692307692308,2.3106796116504853,11.0,142,35.2112676056338,0.7605633802816901,2.1739130434782608,11.0,False,35.2112676056338,0.7605633802816901
3,NO_FIB,4.0,0.5,0.5,,,,0.5,False,False,NONE,824,35.31553398058252,0.7657766990291263,2.1838649155722325,14.0,387,35.14211886304909,0.7571059431524548,2.1673306772908365,11.0,False,35.14211886304909,0.7571059431524548
5,NO_FIB,4.0,0.5,0.5,,,,0.5,False,False,NONE,868,35.13824884792627,0.7569124423963134,2.1669626998223803,14.0,403,35.483870967741936,0.7741935483870968,2.2,11.0,False,35.13824884792627,0.7569124423963134
5,FIB_786,4.0,0.25,0.3,,0.4,,0.3,False,False,BASIC,134,35.07462686567165,0.753731343283582,2.160919540229885,10.0,61,36.0655737704918,0.8032786885245902,2.2564102564102564,8.0,False,35.07462686567165,0.753731343283582
5,FIB_786,4.0,0.25,0.3,,0.4,1.2,0.3,False,False,NONE,134,35.07462686567165,0.753731343283582,2.160919540229885,10.0,61,36.0655737704918,0.8032786885245902,2.2564102564102564,8.0,False,35.07462686567165,0.753731343283582
5,FIB_786,4.0,0.25,0.3,,0.4,1.2,0.3,False,False,BASIC,134,35.07462686567165,0.753731343283582,2.160919540229885,10.0,61,36.0655737704918,0.8032786885245902,2.2564102564102564,8.0,False,35.07462686567165,0.753731343283582
8,NO_FIB,4.0,0.5,0.5,,,,0.5,False,False,NONE,876,35.04566210045662,0.752283105022831,2.15817223198594,13.0,405,35.30864197530864,0.7654320987654321,2.183206106870229,11.0,False,35.04566210045662,0.752283105022831
3,NO_FIB,4.0,0.25,,,,,0.5,False,False,NONE,1384,35.043352601156066,0.7521676300578035,2.1579532814238043,13.0,634,35.96214511041009,0.7981072555205048,2.246305418719212,16.0,False,35.043352601156066,0.7521676300578035
5,NO_FIB,4.0,0.25,0.15,0.05,,,0.75,False,False,NONE,245,37.55102040816327,0.8775510204081632,2.4052287581699345,9.0,117,35.04273504273504,0.7521367521367521,2.1578947368421053,8.0,False,35.04273504273504,0.7521367521367521
5,NO_FIB,4.0,0.5,0.15,0.05,,,0.75,False,False,NONE,244,37.704918032786885,0.8852459016393442,2.421052631578948,9.0,117,35.04273504273504,0.7521367521367521,2.1578947368421053,8.0,False,35.04273504273504,0.7521367521367521
3,NO_FIB,4.0,0.5,,,,,0.5,False,False,NONE,1373,35.03277494537509,0.7516387472687546,2.15695067264574,13.0,630,35.87301587301587,0.7936507936507936,2.237623762376238,16.0,False,35.03277494537509,0.7516387472687546
3,NO_FIB,4.0,0.25,0.15,,,,0.75,False,False,NONE,257,38.13229571984436,0.906614785992218,2.4654088050314464,10.0,123,34.959349593495936,0.7479674796747967,2.15,7.0,False,34.959349593495936,0.7479674796747967
3,NO_FIB,4.0,0.5,0.15,,,,0.75,False,False,NONE,256,38.671875,0.93359375,2.522292993630573,10.0,123,34.959349593495936,0.7479674796747967,2.15,7.0,False,34.959349593495936,0.7479674796747967
5,NO_FIB,4.0,0.25,,,,,0.5,False,False,NONE,1454,34.93810178817056,0.7469050894085282,2.1479915433403804,13.0,655,36.03053435114504,0.8015267175572519,2.252983293556086,17.0,False,34.93810178817056,0.7469050894085282
5,NO_FIB,4.0,0.5,,,,,0.5,False,False,NONE,1443,34.92723492723493,0.7463617463617463,2.146964856230032,13.0,651,36.098310291858674,0.804915514592934,2.2596153846153846,17.0,False,34.92723492723493,0.7463617463617463
5,FIB_786,4.0,0.25,0.15,,0.4,,0.3,False,False,NONE,195,34.87179487179487,0.7435897435897436,2.141732283464567,12.0,88,36.36363636363637,0.8181818181818182,2.2857142857142856,12.0,False,34.87179487179487,0.7435897435897436
8,FIB_786,4.0,0.25,0.15,0.05,0.4,,0.3,False,False,NONE,175,34.85714285714286,0.7428571428571429,2.1403508771929824,9.0,83,34.93975903614458,0.7469879518072289,2.1481481481481484,12.0,False,34.85714285714286,0.7428571428571429
5,FIB_786,4.0,0.25,0.3,0.05,0.4,,0.3,False,False,BASIC,132,34.84848484848485,0.7424242424242424,2.13953488372093,10.0,60,35.0,0.75,2.1538461538461537,8.0,False,34.84848484848485,0.7424242424242424
5,FIB_786,4.0,0.25,0.3,0.05,0.4,1.2,0.3,False,False,NONE,132,34.84848484848485,0.7424242424242424,2.13953488372093,10.0,60,35.0,0.75,2.1538461538461537,8.0,False,34.84848484848485,0.7424242424242424
5,FIB_786,4.0,0.25,0.3,0.05,0.4,1.2,0.3,False,False,BASIC,132,34.84848484848485,0.7424242424242424,2.13953488372093,10.0,60,35.0,0.75,2.1538461538461537,8.0,False,34.84848484848485,0.7424242424242424
8,NO_FIB,4.0,0.25,,,,,0.5,False,False,NONE,1470,34.82993197278911,0.7414965986394558,2.137787056367432,13.0,659,35.81183611532625,0.7905918057663126,2.231678486997636,17.0,False,34.82993197278911,0.7414965986394558
3,FIB_705,4.0,0.25,0.15,,0.4,,0.3,False,False,NONE,224,34.82142857142857,0.7410714285714286,2.136986301369863,16.0,106,38.67924528301887,0.9339622641509434,2.523076923076923,12.0,False,34.82142857142857,0.7410714285714286
8,NO_FIB,4.0,0.5,,,,,0.5,False,False,NONE,1459,34.81836874571624,0.7409184372858122,2.136698212407992,13.0,655,35.87786259541985,0.7938931297709924,2.238095238095238,17.0,False,34.81836874571624,0.7409184372858122
5,FIB_705,4.0,0.25,0.15,,0.4,,0.3,False,False,NONE,227,34.801762114537446,0.7400881057268722,2.135135135135135,16.0,108,39.81481481481482,0.9907407407407408,2.646153846153846,12.0,False,34.801762114537446,0.7400881057268722
5,NO_FIB,4.0,0.25,,0.15,,,0.75,False,False,NONE,759,35.44137022397892,0.7720685111989459,2.195918367346939,12.0,342,34.7953216374269,0.7397660818713451,2.1345291479820627,13.0,False,34.7953216374269,0.7397660818713451
3,NO_FIB,4.0,0.25,,0.15,,,0.75,False,False,NONE,724,35.49723756906077,0.7748618784530387,2.201284796573876,12.0,322,34.78260869565217,0.7391304347826086,2.1333333333333333,11.0,False,34.78260869565217,0.7391304347826086
5,FIB_705,4.0,0.25,0.15,,0.4,,0.5,False,False,NONE,161,34.78260869565217,0.7391304347826086,2.1333333333333333,13.0,83,38.55421686746988,0.927710843373494,2.5098039215686274,11.0,False,34.78260869565217,0.7391304347826086
5,FIB_705,4.0,0.5,0.15,,0.4,,0.5,False,False,NONE,161,34.78260869565217,0.7391304347826086,2.1333333333333333,13.0,83,38.55421686746988,0.927710843373494,2.5098039215686274,11.0,False,34.78260869565217,0.7391304347826086
5,FIB_705,4.0,0.25,0.15,,0.3,,0.5,False,False,NONE,204,34.80392156862745,0.7401960784313726,2.1353383458646618,13.0,118,34.74576271186441,0.7372881355932204,2.1298701298701297,11.0,False,34.74576271186441,0.7372881355932204
5,FIB_705,4.0,0.5,0.15,,0.3,,0.5,False,False,NONE,204,34.80392156862745,0.7401960784313726,2.1353383458646618,13.0,118,34.74576271186441,0.7372881355932204,2.1298701298701297,11.0,False,34.74576271186441,0.7372881355932204
8,NO_FIB,4.0,0.25,0.15,0.05,,,0.75,False,False,NONE,247,37.24696356275304,0.8623481781376519,2.3741935483870966,9.0,118,34.74576271186441,0.7372881355932204,2.1298701298701297,9.0,False,34.74576271186441,0.7372881355932204
8,NO_FIB,4.0,0.5,0.15,0.05,,,0.75,False,False,NONE,246,37.39837398373984,0.8699186991869918,2.389610389610389,9.0,118,34.74576271186441,0.7372881355932204,2.1298701298701297,9.0,False,34.74576271186441,0.7372881355932204
3,FIB_786,4.0,0.25,0.15,,0.4,,0.3,False,False,NONE,193,34.715025906735754,0.7357512953367875,2.126984126984127,12.0,87,35.63218390804598,0.7816091954022989,2.2142857142857144,12.0,False,34.715025906735754,0.7357512953367875
8,FIB_786,4.0,0.25,0.15,,0.4,,0.3,False,False,NONE,196,34.69387755102041,0.7346938775510204,2.125,12.0,89,37.07865168539326,0.8539325842696629,2.357142857142857,12.0,False,34.69387755102041,0.7346938775510204
8,NO_FIB,4.0,0.25,,0.15,,,0.75,False,False,NONE,766,35.50913838120104,0.7754569190600522,2.2024291497975708,12.0,346,34.68208092485549,0.7341040462427746,2.1238938053097347,13.0,False,34.68208092485549,0.7341040462427746
8,FIB_705,4.0,0.25,0.15,,0.4,,0.3,False,False,NONE,228,34.64912280701755,0.7324561403508771,2.120805369127517,16.0,109,39.44954128440367,0.9724770642201837,2.606060606060606,12.0,False,34.64912280701755,0.7324561403508771
5,NO_FIB,4.0,0.25,0.3,,,,0.75,False,False,NONE,409,36.67481662591688,0.8337408312958435,2.3166023166023164,9.0,205,34.63414634146341,0.7317073170731707,2.1194029850746268,9.0,False,34.63414634146341,0.7317073170731707
5,NO_FIB,4.0,0.5,0.3,,,,0.75,False,False,NONE,408,37.00980392156863,0.8504901960784313,2.350194552529183,9.0,205,34.63414634146341,0.7317073170731707,2.1194029850746268,9.0,False,34.63414634146341,0.7317073170731707
5,NO_FIB,4.0,0.25,0.15,,,,0.5,False,False,NONE,450,38.22222222222222,0.9111111111111112,2.474820143884892,8.0,208,34.61538461538461,0.7307692307692307,2.117647058823529,8.0,False,34.61538461538461,0.7307692307692307
5,NO_FIB,4.0,0.25,0.15,0.15,,,,False,False,NONE,392,35.204081632653065,0.7602040816326531,2.173228346456693,10.0,182,34.61538461538461,0.7307692307692307,2.117647058823529,12.0,False,34.61538461538461,0.7307692307692307
3,FIB_705,4.0,0.25,0.15,,0.4,,0.5,False,False,NONE,159,34.59119496855346,0.7295597484276729,2.1153846153846154,13.0,82,37.80487804878049,0.8902439024390244,2.431372549019608,11.0,False,34.59119496855346,0.7295597484276729
3,FIB_705,4.0,0.5,0.15,,0.4,,0.5,False,False,NONE,159,34.59119496855346,0.7295597484276729,2.1153846153846154,13.0,82,37.80487804878049,0.8902439024390244,2.431372549019608,11.0,False,34.59119496855346,0.7295597484276729
5,NO_FIB,4.0,0.25,0.5,0.05,,,0.5,False,False,NONE,824,34.5873786407767,0.7293689320388349,2.115027829313544,17.0,381,34.645669291338585,0.7322834645669292,2.1204819277108435,13.0,False,34.5873786407767,0.7293689320388349
3,NO_FIB,4.0,0.25,0.15,0.15,,,0.5,False,False,NONE,234,38.88888888888889,0.9444444444444444,2.5454545454545454,9.0,107,34.57943925233645,0.7289719626168224,2.1142857142857143,8.0,False,34.57943925233645,0.7289719626168224
8,FIB_705,4.0,0.25,0.15,,0.4,,0.5,False,False,NONE,162,34.5679012345679,0.7283950617283951,2.1132075471698117,13.0,84,38.095238095238095,0.9047619047619048,2.4615384615384617,11.0,False,34.5679012345679,0.7283950617283951
