cisd_type,max_cisd_bars,entry,rr,volume_filter,wick_filter,sweep_atr_filter,stop_buffer,trades,trades_per_day,win_rate,net_r,expectancy_r,profit_factor,max_drawdown_r,max_losing_streak,avg_mfe_r,avg_mae_r,sweet_spot_4_6,acceptable_3_8
LAST_OPPOSING,5,FIB_786,2.5,0.0,0.3,0.15,0.25,1603,5.1050955414012735,45.63046192259675,956.5,0.5966936993137867,2.098163030998852,10.5,8,2.3017801557180126,1.139002528840133,True,True
LAST_OPPOSING,3,FIB_786,2.5,0.0,0.3,0.15,0.25,1530,4.872611464968153,45.45454545454545,903.5,0.5905228758169935,2.0833333333333335,10.5,8,2.314007122249275,1.1385468779951948,True,True
LAST_OPPOSING,8,FIB_786,2.5,0.0,0.3,0.15,0.25,1627,5.181528662420382,45.38745387453875,957.0,0.58819913952059,2.0777027027027026,10.5,8,2.293223008216311,1.1448175396021518,True,True
EXTREME_OPEN,3,FIB_786,2.5,0.0,0.3,0.15,0.25,1581,5.035031847133758,45.379746835443036,929.5,0.5879190385831752,2.077056778679027,12.0,10,2.3201109163148743,1.1534877181936356,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.3,0.15,0.25,1633,5.2006369426751595,45.15931372549019,947.5,0.5802204531537049,2.058659217877095,11.5,10,2.310194983808572,1.1530799707498567,True,True
LAST_OPPOSING,5,FIB_786,2.5,0.0,0.4,0.0,0.25,1582,5.038216560509555,45.13274336283185,917.0,0.5796460176991151,2.056451612903226,14.0,8,2.331769670892506,1.185218604661243,True,True
EXTREME_OPEN,3,FIB_786,3.0,0.0,0.4,0.05,0.25,1507,4.7993630573248405,39.48241539482416,873.0,0.5792966157929662,1.957236842105263,14.0,14,2.474645658268463,1.2534968581058579,True,True
EXTREME_OPEN,3,FIB_786,3.0,0.0,0.4,0.0,0.25,1592,5.070063694267516,39.44723618090452,920.0,0.5778894472361809,1.954356846473029,16.0,16,2.485813209980825,1.2792090747729057,True,True
LAST_OPPOSING,5,FIB_786,3.0,0.0,0.4,0.0,0.25,1580,5.031847133757962,39.43037974683544,912.0,0.5772151898734177,1.9529780564263324,14.0,9,2.472679778578153,1.26745345771167,True,True
LAST_OPPOSING,5,FIB_786,2.5,0.0,0.4,0.05,0.25,1501,4.780254777070064,45.03664223850766,865.0,0.5762824783477681,2.0484848484848484,13.5,8,2.3187038324254052,1.1635600741752592,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.4,0.05,0.25,1548,4.929936305732484,39.405684754521964,892.0,0.5762273901808785,1.950959488272921,14.0,14,2.465058069893906,1.2496240166905128,True,True
LAST_OPPOSING,3,FIB_786,2.5,1.2,0.0,0.0,0.25,1404,4.471337579617835,45.04632929436921,809.0,0.5762108262108262,2.0492866407263293,12.0,12,2.2638736015258276,1.137883150425297,True,True
LAST_OPPOSING,8,FIB_786,2.5,0.0,0.4,0.0,0.25,1601,5.098726114649682,45.034353529044346,922.5,0.5762023735165521,2.0482954545454546,14.0,8,2.325716051561816,1.1853606480967915,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.4,0.0,0.25,1635,5.207006369426751,39.38837920489296,941.0,0.5755351681957187,1.9495459132189707,16.0,16,2.4771566347549245,1.2749123989343898,True,True
LAST_OPPOSING,5,FIB_786,2.5,1.2,0.0,0.15,0.25,1307,4.162420382165605,45.0229709035222,752.0,0.5753634276970161,2.0473537604456826,13.5,10,2.242526315475121,1.1500704503614463,True,True
LAST_OPPOSING,3,FIB_786,3.0,0.0,0.4,0.0,0.25,1529,4.869426751592357,39.37213865271419,879.0,0.5748855461085677,1.948220064724919,13.0,9,2.4767074936151596,1.2711477340188633,True,True
LAST_OPPOSING,3,FIB_786,2.5,1.2,0.0,0.05,0.25,1364,4.343949044585988,44.97432134996331,782.5,0.5736803519061584,2.0433333333333334,13.5,11,2.2637154636235706,1.1394800841519057,True,True
LAST_OPPOSING,5,FIB_786,3.0,0.0,0.4,0.05,0.25,1500,4.777070063694268,39.33333333333333,860.0,0.5733333333333334,1.945054945054945,12.0,9,2.4606992868000046,1.2447205543136182,True,True
LAST_OPPOSING,3,FIB_786,2.5,0.0,0.4,0.0,0.25,1531,4.875796178343949,44.937949052906596,877.0,0.5728282168517309,2.040332147093713,14.0,8,2.3384455394127643,1.1895774865994946,True,True
LAST_OPPOSING,8,FIB_786,2.5,0.0,0.4,0.05,0.25,1520,4.840764331210191,44.93421052631579,870.5,0.5726973684210527,2.0400238948626046,13.5,8,2.312490941887537,1.163980418661803,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.3,0.15,0.25,1653,5.264331210191083,44.91525423728814,945.0,0.5716878402903811,2.0384615384615383,11.5,11,2.3035040200651404,1.1564233928588827,True,True
LAST_OPPOSING,3,FIB_786,3.0,0.0,0.4,0.05,0.25,1451,4.6210191082802545,39.28325292901447,829.0,0.5713301171605789,1.9409761634506242,12.0,9,2.4650877671606444,1.2478437343530897,True,True
LAST_OPPOSING,8,FIB_786,3.0,0.0,0.4,0.0,0.25,1599,5.092356687898089,39.27454659161976,913.0,0.5709818636647905,1.9402677651905251,14.0,10,2.4672646259423976,1.2678861879698333,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.4,0.05,0.25,1562,4.974522292993631,39.24455825864276,890.0,0.5697823303457106,1.9378292939936776,14.0,14,2.4595487192942125,1.2507310644886984,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.4,0.0,0.25,1649,5.251592356687898,39.23590054578533,939.0,0.569436021831413,1.937125748502994,16.0,16,2.4718352366076988,1.275746341511316,True,True
LAST_OPPOSING,3,FIB_786,2.5,0.0,0.4,0.05,0.25,1452,4.624203821656051,44.83471074380165,826.5,0.5692148760330579,2.0318352059925093,13.5,8,2.3260445360368607,1.1675364846365743,True,True
LAST_OPPOSING,5,FIB_786,3.0,0.0,0.3,0.15,0.25,1602,5.101910828025478,39.22548407245471,911.0,0.5686641697877652,1.9362795477903392,11.0,11,2.446276101089564,1.2252929127883678,True,True
LAST_OPPOSING,8,FIB_786,3.0,0.0,0.4,0.05,0.25,1519,4.837579617834395,39.1705069124424,861.0,0.5668202764976958,1.9318181818181819,12.0,10,2.455148793237932,1.2454604232058935,True,True
EXTREME_OPEN,3,FIB_786,2.5,0.0,0.4,0.05,0.25,1508,4.802547770700637,44.761273209549074,854.5,0.5666445623342176,2.025810324129652,14.0,9,2.3351636126553235,1.1762944687528474,True,True
EXTREME_OPEN,3,FIB_786,2.5,0.0,0.4,0.0,0.25,1594,5.076433121019108,44.730238393977416,901.5,0.5655583437892095,2.0232690124858115,15.0,9,2.3480386861825067,1.2014040343323755,True,True
LAST_OPPOSING,3,FIB_786,3.0,0.0,0.3,0.15,0.25,1529,4.869426751592357,39.13612565445026,864.0,0.5650752125572269,1.929032258064516,10.0,10,2.4540897581574033,1.224637811088011,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.4,0.15,0.25,1261,4.015923566878981,39.095955590800955,711.0,0.5638382236320381,1.92578125,12.0,12,2.4343719195508107,1.2345184387137527,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.3,0.15,0.25,1631,5.194267515923567,39.079754601226995,918.0,0.562844880441447,1.9244712990936557,10.0,10,2.459292201776328,1.2356843160045192,True,True
EXTREME_OPEN,3,FIB_786,3.0,0.0,0.3,0.15,0.25,1580,5.031847133757962,39.07536415452818,889.0,0.5626582278481013,1.9241164241164241,11.0,10,2.4680594819661996,1.2388456123086913,True,True
LAST_OPPOSING,8,FIB_786,2.5,1.2,0.0,0.15,0.25,1338,4.261146496815287,44.65220643231114,752.5,0.5624065769805681,2.016891891891892,13.5,10,2.2281620987541126,1.1545084055656927,True,True
LAST_OPPOSING,5,FIB_786,2.5,1.2,0.0,0.0,0.25,1520,4.840764331210191,44.634628044766295,854.0,0.5618421052631579,2.015457788347206,13.0,12,2.240169088283101,1.1451973591986708,True,True
LAST_OPPOSING,5,FIB_786,2.5,0.0,0.3,0.15,0.5,1602,5.101910828025478,44.59712679575266,898.0,0.5605493133583022,2.012401352874859,10.5,8,2.2421152876736565,1.1163648025190203,True,True
LAST_OPPOSING,5,FIB_786,2.5,1.2,0.0,0.05,0.25,1477,4.703821656050955,44.579945799457995,827.0,0.5599187542315505,2.011002444987775,14.5,11,2.2393040472984223,1.1461919778497545,True,True
LAST_OPPOSING,5,FIB_786,2.5,0.0,0.4,0.0,0.5,1579,5.028662420382165,44.52184927169095,881.5,0.5582647245091831,2.0062785388127855,14.0,8,2.271854163193667,1.1614995800288248,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.4,0.05,0.25,1550,4.936305732484076,44.516129032258064,865.0,0.5580645161290323,2.005813953488372,14.0,9,2.323539499577343,1.1742072724662356,True,True
LAST_OPPOSING,8,FIB_786,3.0,0.0,0.3,0.15,0.25,1626,5.178343949044586,38.95384615384616,907.0,0.557810578105781,1.9143145161290323,11.0,11,2.4378627713575245,1.2310844500857205,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.4,0.0,0.25,1638,5.2165605095541405,44.505494505494504,913.5,0.5576923076923077,2.004950495049505,15.0,9,2.337576767146034,1.198894967470728,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.4,0.15,0.25,1263,4.022292993630574,44.4972288202692,704.0,0.557403008709422,2.0042796005706136,11.0,10,2.293387561695012,1.1596956608556888,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.4,0.15,0.25,1275,4.060509554140127,38.90196078431373,709.0,0.556078431372549,1.9101412066752246,13.0,13,2.427959370898326,1.2360405459705686,True,True
LAST_OPPOSING,3,CISD,2.5,1.2,0.0,0.15,0.25,1854,5.904458598726115,45.152198421646,1029.5,0.5552858683926645,2.0580678314491263,11.0,11,1.8996094889342616,0.8539723272591728,True,True
LAST_OPPOSING,3,FIB_786,2.5,0.0,0.3,0.15,0.5,1529,4.869426751592357,44.43717277486911,848.5,0.5549378678875082,1.9994110718492344,10.5,8,2.2504244452159874,1.116329059692257,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.3,0.15,0.25,1651,5.25796178343949,38.84848484848485,914.0,0.5536038764385222,1.9058473736372645,11.0,11,2.451127620299084,1.2387503385719925,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.4,0.05,0.25,1564,4.980891719745223,44.37340153452685,865.0,0.55306905370844,1.9942528735632183,14.0,10,2.319303984454396,1.1752287748077535,True,True
LAST_OPPOSING,3,FIB_786,2.5,0.0,0.4,0.0,0.5,1528,4.86624203821656,44.3717277486911,845.0,0.5530104712041884,1.9941176470588236,14.0,8,2.2759694253860845,1.1659925755554008,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.4,0.0,0.25,1652,5.261146496815287,44.37046004842615,913.5,0.5529661016949152,1.9940152339499455,15.0,10,2.3334479127887393,1.1996528378896574,True,True
LAST_OPPOSING,8,FIB_786,2.5,0.0,0.4,0.0,0.5,1598,5.089171974522293,44.36795994993742,883.5,0.5528785982478097,1.9938132733408325,14.0,8,2.2659731654913995,1.1621695298859371,True,True
LAST_OPPOSING,5,FIB_786,2.5,0.0,0.4,0.05,0.5,1500,4.777070063694268,44.333333333333336,827.5,0.5516666666666666,1.9910179640718564,13.5,8,2.258588763587324,1.1407711560896399,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.4,0.15,0.25,1277,4.06687898089172,44.32263116679718,704.0,0.5512920908379013,1.990154711673699,13.5,12,2.288530695193887,1.1611058348765824,True,True
LAST_OPPOSING,8,FIB_786,2.5,0.0,0.3,0.15,0.5,1626,5.178343949044586,44.30769230769231,895.0,0.550430504305043,1.988950276243094,10.5,8,2.233694510063078,1.1223025102987996,True,True
EXTREME_OPEN,5,FIB_786,2.5,1.2,0.0,0.15,0.25,1283,4.085987261146497,44.30577223088923,706.0,0.5502727981293842,1.988795518207283,13.5,11,2.2487940249003286,1.169251599633416,True,True
LAST_OPPOSING,8,FIB_786,2.5,1.2,0.0,0.0,0.25,1554,4.949044585987261,44.30135222150676,855.0,0.5501930501930502,1.9884393063583814,13.0,12,2.226878977205366,1.148843469771805,True,True
LAST_OPPOSING,8,FIB_786,2.5,1.2,0.0,0.05,0.25,1511,4.812101910828026,44.23841059602649,828.0,0.5479814692256784,1.9833729216152018,14.5,11,2.2256551914272635,1.1499194687806042,True,True
EXTREME_OPEN,3,FIB_786,2.5,0.0,0.3,0.15,0.5,1580,5.031847133757962,44.20519316022799,864.0,0.5468354430379747,1.9807037457434733,12.0,10,2.258583774240729,1.136182828894875,True,True
LAST_OPPOSING,3,FIB_786,2.5,0.0,0.4,0.05,0.5,1451,4.6210191082802545,44.176430048242594,792.5,0.5461750516884907,1.978395061728395,13.5,8,2.2631256732151486,1.1448518496234352,True,True
LAST_OPPOSING,8,FIB_786,2.5,0.0,0.4,0.05,0.5,1519,4.837579617834395,44.173798551678736,829.5,0.5460829493087558,1.978183962264151,13.5,8,2.2525678342023983,1.1417352245073555,True,True
EXTREME_OPEN,3,FIB_786,2.5,0.0,0.4,0.0,0.5,1590,5.063694267515924,44.15094339622642,867.0,0.5452830188679245,1.9763513513513513,15.0,9,2.2894607584259883,1.1780985310874288,True,True
LAST_OPPOSING,5,FIB_786,2.5,1.2,0.0,0.15,0.5,1306,4.159235668789809,44.13793103448276,711.0,0.5444104134762634,1.9753086419753085,13.5,10,2.187681080553756,1.124598243386809,True,True
LAST_OPPOSING,5,FIB_786,3.0,1.2,0.0,0.15,0.25,1306,4.159235668789809,38.62068965517241,711.0,0.5444104134762634,1.8876404494382022,20.0,10,2.3917647208196344,1.237239063287872,True,True
LAST_OPPOSING,3,FIB_786,3.0,1.2,0.0,0.0,0.25,1400,4.45859872611465,38.59899928520372,761.0,0.5435714285714286,1.8859138533178115,13.0,13,2.4026617058964486,1.2275576939201411,True,True
EXTREME_OPEN,8,FIB_786,2.5,1.2,0.0,0.15,0.25,1307,4.162420382165605,44.104134762634,710.0,0.5432287681713849,1.9726027397260273,14.5,11,2.241712718094202,1.1709805927396837,True,True
LAST_OPPOSING,3,CISD,2.5,1.2,0.0,0.15,0.5,1851,5.8949044585987265,44.776962168266515,1004.5,0.5426796326310103,2.0270961145194275,11.0,11,1.8780307087791506,0.8489604996325977,True,True
EXTREME_OPEN,3,FIB_786,2.5,0.0,0.4,0.05,0.5,1507,4.7993630573248405,44.061048440610485,817.0,0.542136695421367,1.9691577698695137,14.0,9,2.2757130277973068,1.1552063251219815,True,True
LAST_OPPOSING,3,FIB_786,3.0,1.2,0.0,0.05,0.25,1360,4.3312101910828025,38.55776306107432,737.0,0.5419117647058823,1.8826347305389222,14.0,12,2.403299222814569,1.2278076216125402,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.3,0.15,0.5,1632,5.197452229299363,44.02207234825261,882.0,0.5404411764705882,1.9660460021905806,11.5,10,2.250158674605637,1.1348929306581905,True,True
LAST_OPPOSING,3,FIB_786,2.5,1.2,0.0,0.0,0.5,1403,4.468152866242038,44.00855920114123,757.5,0.5399144689950107,1.964968152866242,12.0,12,2.204152403736024,1.1157197016620026,True,True
LAST_OPPOSING,5,FIB_786,3.0,0.0,0.3,0.15,0.5,1601,5.098726114649682,38.5,864.0,0.5396627108057465,1.8780487804878048,14.0,12,2.3778854333816892,1.1998484816655866,True,True
LAST_OPPOSING,5,FIB_786,3.0,0.0,0.4,0.0,0.5,1578,5.025477707006369,38.490805326569436,851.0,0.5392902408111534,1.877319587628866,13.0,11,2.404281319985053,1.249585440237543,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.4,0.0,0.5,1634,5.203821656050955,43.94124847001224,879.0,0.5379436964504284,1.9596069868995634,15.0,9,2.279676504705797,1.1750333362630427,True,True
EXTREME_OPEN,3,FIB_786,2.5,1.2,0.0,0.05,0.25,1431,4.557324840764331,43.91608391608391,768.0,0.5366876310272537,1.9576059850374066,17.5,11,2.256255428205892,1.1734155600430185,True,True
LAST_OPPOSING,3,CISD,2.5,0.0,0.4,0.15,0.25,1799,5.729299363057325,44.361763022323984,965.5,0.5366870483602001,1.993312757201646,17.5,11,1.8715872589261828,0.8670617387479937,True,True
EXTREME_OPEN,3,FIB_786,2.5,1.2,0.0,0.0,0.25,1479,4.710191082802548,43.9106901217862,793.5,0.5365111561866126,1.957177322074789,16.5,12,2.256803554550397,1.1717369575660974,True,True
LAST_OPPOSING,3,FIB_786,2.5,1.2,0.0,0.05,0.5,1363,4.340764331210191,43.906020558002936,731.0,0.5363169479090242,1.956806282722513,13.5,11,2.204259937786086,1.1177416639510591,True,True
LAST_OPPOSING,3,FIB_786,3.0,0.0,0.4,0.0,0.5,1527,4.8630573248407645,38.40104849279161,818.0,0.535690897184021,1.8702127659574468,13.0,11,2.407593826666213,1.2541251509516393,True,True
LAST_OPPOSING,3,FIB_786,3.0,0.0,0.3,0.15,0.5,1528,4.86624203821656,38.37590045841519,817.0,0.5346858638743456,1.8682252922422955,14.0,12,2.383098338555995,1.2000448559575538,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.4,0.05,0.5,1549,4.93312101910828,43.83473208521627,827.5,0.5342156229825694,1.9511494252873562,14.0,9,2.264958256499454,1.152541094039036,True,True
LAST_OPPOSING,8,FIB_786,3.0,0.0,0.4,0.0,0.5,1597,5.085987261146497,38.34586466165413,852.0,0.5335003130870382,1.8658536585365855,13.0,12,2.3992050340760134,1.2498627370450763,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.4,0.0,0.5,1648,5.248407643312102,43.810679611650485,879.0,0.533373786407767,1.949244060475162,15.0,10,2.275401251593839,1.175535524408887,True,True
LAST_OPPOSING,5,FIB_786,3.0,0.0,0.4,0.05,0.5,1500,4.777070063694268,38.333333333333336,800.0,0.5333333333333333,1.864864864864865,12.0,11,2.3906255835769623,1.2242557394534372,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.3,0.15,0.5,1652,5.261146496815287,43.79164142943671,879.5,0.5323849878934624,1.9477370689655173,11.5,11,2.2434633833800155,1.1378647831472357,True,True
EXTREME_OPEN,3,FIB_705,2.5,0.0,0.4,0.05,0.25,1680,5.350318471337579,43.75,892.5,0.53125,1.9444444444444444,14.0,11,2.148375705085021,1.0718174325923042,True,True
