max_cisd_bars,entry,rr,stop_buffer,sr_max_atr,sweep_min_atr,rejection_min,volume_min,displacement_min_atr,ifvg_required,fvg_required,absorption,train_trades,train_wr,train_exp_r,train_pf,train_dd_r,valid_trades,valid_wr,valid_exp_r,valid_pf,valid_dd_r,target_50,robust_wr,robust_exp
5,FIB_786,3.0,0.25,0.3,,0.4,,0.3,False,False,BASIC,135,48.888888888888886,0.9555555555555556,2.869565217391304,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
5,FIB_786,3.0,0.25,0.3,,0.4,1.2,0.3,False,False,NONE,135,48.888888888888886,0.9555555555555556,2.869565217391304,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
5,FIB_786,3.0,0.25,0.3,,0.4,1.2,0.3,False,False,BASIC,135,48.888888888888886,0.9555555555555556,2.869565217391304,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
5,FIB_786,3.0,0.5,0.3,,0.4,,0.3,False,False,BASIC,135,48.148148148148145,0.9259259259259259,2.7857142857142856,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
5,FIB_786,3.0,0.5,0.3,,0.4,1.2,0.3,False,False,NONE,135,48.148148148148145,0.9259259259259259,2.7857142857142856,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
5,FIB_786,3.0,0.5,0.3,,0.4,1.2,0.3,False,False,BASIC,135,48.148148148148145,0.9259259259259259,2.7857142857142856,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
8,FIB_786,3.0,0.25,0.3,,0.4,,0.3,False,False,BASIC,137,48.9051094890511,0.9562043795620438,2.8714285714285714,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
8,FIB_786,3.0,0.25,0.3,,0.4,1.2,0.3,False,False,NONE,137,48.9051094890511,0.9562043795620438,2.8714285714285714,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
8,FIB_786,3.0,0.25,0.3,,0.4,1.2,0.3,False,False,BASIC,137,48.9051094890511,0.9562043795620438,2.8714285714285714,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
8,FIB_786,3.0,0.5,0.3,,0.4,,0.3,False,False,BASIC,137,48.175182481751825,0.927007299270073,2.788732394366197,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
8,FIB_786,3.0,0.5,0.3,,0.4,1.2,0.3,False,False,NONE,137,48.175182481751825,0.927007299270073,2.788732394366197,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
8,FIB_786,3.0,0.5,0.3,,0.4,1.2,0.3,False,False,BASIC,137,48.175182481751825,0.927007299270073,2.788732394366197,8.0,61,47.540983606557376,0.9016393442622951,2.71875,6.0,False,47.540983606557376,0.9016393442622951
3,FIB_786,3.0,0.25,0.5,0.05,0.4,,0.3,False,False,BASIC,183,46.994535519125684,0.8797814207650273,2.6597938144329896,8.0,81,46.913580246913575,0.8765432098765432,2.6511627906976742,7.0,False,46.913580246913575,0.8765432098765432
3,FIB_786,3.0,0.25,0.5,0.05,0.4,1.2,0.3,False,False,NONE,183,46.994535519125684,0.8797814207650273,2.6597938144329896,8.0,81,46.913580246913575,0.8765432098765432,2.6511627906976742,7.0,False,46.913580246913575,0.8765432098765432
3,FIB_786,3.0,0.25,0.5,0.05,0.4,1.2,0.3,False,False,BASIC,183,46.994535519125684,0.8797814207650273,2.6597938144329896,8.0,81,46.913580246913575,0.8765432098765432,2.6511627906976742,7.0,False,46.913580246913575,0.8765432098765432
5,FIB_786,3.0,0.25,0.3,,,1.5,,False,False,BASIC,133,48.87218045112782,0.9548872180451128,2.8676470588235294,7.0,62,46.774193548387096,0.8709677419354839,2.6363636363636362,5.0,False,46.774193548387096,0.8709677419354839
5,FIB_786,3.0,0.25,0.3,,0.3,1.5,,False,False,NONE,133,48.87218045112782,0.9548872180451128,2.8676470588235294,7.0,62,46.774193548387096,0.8709677419354839,2.6363636363636362,5.0,False,46.774193548387096,0.8709677419354839
5,FIB_786,3.0,0.25,0.3,,0.3,1.5,,False,False,BASIC,133,48.87218045112782,0.9548872180451128,2.8676470588235294,7.0,62,46.774193548387096,0.8709677419354839,2.6363636363636362,5.0,False,46.774193548387096,0.8709677419354839
8,FIB_786,3.0,0.25,0.3,,,1.5,,False,False,BASIC,134,48.507462686567166,0.9402985074626866,2.8260869565217392,7.0,62,46.774193548387096,0.8709677419354839,2.6363636363636362,5.0,False,46.774193548387096,0.8709677419354839
8,FIB_786,3.0,0.25,0.3,,0.3,1.5,,False,False,NONE,134,48.507462686567166,0.9402985074626866,2.8260869565217392,7.0,62,46.774193548387096,0.8709677419354839,2.6363636363636362,5.0,False,46.774193548387096,0.8709677419354839
8,FIB_786,3.0,0.25,0.3,,0.3,1.5,,False,False,BASIC,134,48.507462686567166,0.9402985074626866,2.8260869565217392,7.0,62,46.774193548387096,0.8709677419354839,2.6363636363636362,5.0,False,46.774193548387096,0.8709677419354839
3,FIB_786,3.0,0.25,0.5,,0.4,,0.3,False,False,BASIC,184,46.73913043478261,0.8695652173913043,2.63265306122449,8.0,82,47.5609756097561,0.9024390243902439,2.7209302325581395,7.0,False,46.73913043478261,0.8695652173913043
