group,value,trades,wins,losses,wr,avg_mfe_r,median_mfe_r,avg_mae_r
RELATIVE_VOLUME,"(2.0, inf]",5558,1335,4223,24.019431450161928,2.2042356628315005,1.7569120844982695,1.1521363433744767
SESSION,NYAM,8710,2586,6124,29.690011481056256,2.497284902907723,2.1497126436781606,1.1467249647012991
SESSION,LONDON,10451,3069,7382,29.365610946320924,2.459538102884819,2.1,1.1679071778495986
SESSION,NYPM,9400,2714,6686,28.872340425531917,2.486443365679377,2.0335888567256495,1.2215519368820515
SESSION,ASIA,9903,2696,7207,27.224073513076846,2.364740728510031,1.9368213228032585,1.1758490642233717
SR_DIST_ATR,"(-inf, 0.15]",10763,3252,7511,30.21462417541578,2.506581562203161,2.0851777330643344,1.1736818072988349
SR_DIST_ATR,"(0.3, 0.5]",5120,1525,3595,29.78515625,2.503918779941342,2.1686654580951057,1.1991793512470845
SR_DIST_ATR,"(0.5, 1.0]",7155,2022,5133,28.259958071278824,2.404004365559055,1.986811481768948,1.1534017096536837
SR_DIST_ATR,"(0.15, 0.3]",6712,1885,4827,28.084028605482718,2.4373284736521037,2.031014482044892,1.166409882857034
SR_DIST_ATR,"(1.0, inf]",8704,2381,6323,27.355238970588236,2.3979308429088135,1.983137727283871,1.1993904409404954
STRONG_ABS,False,32596,9489,23107,29.11093385691496,2.4727694485707667,2.0804084564860426,1.182612566712116
STRONG_ABS,True,5868,1576,4292,26.857532379004773,2.3251851301608335,1.8553159675769262,1.1541163298230528
SWEEP_ATR,"(0.0, 0.05]",2979,926,2053,31.08425646189997,2.5504551278247383,2.1702274293591475,1.280686917251807
SWEEP_ATR,"(0.15, 0.3]",9420,2864,6556,30.40339702760085,2.528799980262452,2.176730869338886,1.1649356990062394
SWEEP_ATR,"(0.3, inf]",18046,5051,12995,27.989582178876205,2.4045955598642847,1.9787818725040414,1.1603120759572518
SWEEP_ATR,"(0.05, 0.15]",8019,2224,5795,27.734131437835142,2.4235124300066593,1.9883183917415637,1.1962765324969855
